it,en
androne,entrance-hall
area break,break-area
area vendita,sales-area
ascensore,elevator
attico,penthouse
bagno,bathroom
balcone,balcony
balcone verandato,glazed-balcony
box auto,car-box
camera,bedroom
camera hotel,hotel-room
camera matrimoniale,master-bedroom
camere,bedrooms
cameretta,kids-bedroom
cantina,cellar
centrale termica,heating-plant
centro benessere,wellness-center
complesso,complex
corridoio,corridor
cortile interno,inner-courtyard
cucina abitabile,eat-in-kitchen
cucina industriale,industrial-kitchen
cucina semi abitabile,semi-eat-in-kitchen
deposito,storage-room
deposito biciclette,bike-storage
deposito passeggini,stroller-storage
disimpegno,hallway
esposizione,display-area
esterni,exteriors
esterno,exterior
facciata,facade
giardino,garden
giardino condominiale,shared-garden
hall,lobby
ingresso,entrance
interni,interiors
interno,interior
lavanderia,laundry-room
locale hobby,hobby-room
locale server,server-room
locale tecnico,technical-room
logge,loggias
magazzino,warehouse
mansarda,attic
negozio,retail-shop
open space,open-space
palestra,gym
pannelli elettrici,electrical-panels
piano terra,ground-floor
piscina,pool
portico,portico
portineria,concierge
postazioni lavoro,workstations
posto auto,parking-space
posto moto,motorbike-parking
quadri elettrici,electric-boards
reception,reception
reception hotel,hotel-reception
retro negozio,back-store
ripostiglio,storage-room
ristorante,restaurant
sala co working,co-working-room
sala colazione,breakfast-room
sala conferenze,conference-room
sala riunioni,meeting-room
sauna,sauna
scala interna,internal-stairs
sgabuzzino,closet
soggiorno,living-room
solaio,attic-storage
soppalco,mezzanine
spa,spa
studio,study-room
taverna,basement-room
terrazzo,terrace
uffici multipli,multiple-offices
ufficio,office
ufficio direzionale,executive-office
ufficio operativo,operational-office
veranda,veranda
vetrina,storefront
vista,view
zona pranzo,dining-area
